지수코드#지점번호#날짜#오늘#내일#모레#=
D06#1100000000#2016040718##0#0#=
D06#2600000000#2016040718##2#2#=
D06#2700000000#2016040718##0#0#=
D06#2800000000#2016040718##0#1#=
D06#2871000000#2016040718##0#0#=
D06#2872033000#2016040718##0#0#=
D06#2900000000#2016040718##1#1#=
D06#3000000000#2016040718##0#0#=
D06#3100000000#2016040718##0#1#=
D06#3600000000#2016040718##0#0#=
D06#4111000000#2016040718##0#1#=
D06#4113000000#2016040718##0#0#=
D06#4115000000#2016040718##0#0#=
D06#4117000000#2016040718##0#0#=
D06#4119000000#2016040718##0#1#=
D06#4121000000#2016040718##0#1#=
D06#4122000000#2016040718##0#1#=
D06#4125000000#2016040718##0#0#=
D06#4127000000#2016040718##0#1#=
D06#4128000000#2016040718##0#0#=
D06#4129000000#2016040718##0#0#=
D06#4131000000#2016040718##0#0#=
D06#4136000000#2016040718##0#0#=
D06#4137000000#2016040718##0#1#=
D06#4139000000#2016040718##0#1#=
D06#4141000000#2016040718##0#0#=
D06#4143000000#2016040718##0#0#=
D06#4145000000#2016040718##0#0#=
D06#4146000000#2016040718##0#1#=
D06#4148000000#2016040718##0#0#=
D06#4150000000#2016040718##0#0#=
D06#4155000000#2016040718##0#1#=
D06#4157000000#2016040718##0#0#=
D06#4159000000#2016040718##0#0#=
D06#4161000000#2016040718##0#0#=
D06#4163000000#2016040718##0#0#=
D06#4165000000#2016040718##0#0#=
D06#4167000000#2016040718##0#0#=
D06#4180000000#2016040718##0#0#=
D06#4182000000#2016040718##0#0#=
D06#4183000000#2016040718##0#0#=
D06#4211000000#2016040718##0#1#=
D06#4213000000#2016040718##0#1#=
D06#4215000000#2016040718##0#0#=
D06#4217000000#2016040718##0#0#=
D06#4219000000#2016040718##0#0#=
D06#4221000000#2016040718##0#1#=
D06#4223000000#2016040718##0#0#=
D06#4272000000#2016040718##0#0#=
D06#4273000000#2016040718##0#1#=
D06#4275000000#2016040718##0#1#=
D06#4276000000#2016040718##0#0#=
D06#4277000000#2016040718##0#0#=
D06#4278000000#2016040718##0#0#=
D06#4279000000#2016040718##0#0#=
D06#4280000000#2016040718##0#0#=
D06#4281000000#2016040718##0#0#=
D06#4282000000#2016040718##0#0#=
D06#4283000000#2016040718##0#0#=
D06#4311000000#2016040718##1#0#=
D06#4313000000#2016040718##0#0#=
D06#4315000000#2016040718##0#0#=
D06#4372000000#2016040718##0#1#=
D06#4373000000#2016040718##0#0#=
D06#4374000000#2016040718##0#0#=
D06#4374500000#2016040718##0#0#=
D06#4375000000#2016040718##0#0#=
D06#4376000000#2016040718##0#0#=
D06#4377000000#2016040718##0#0#=
D06#4380000000#2016040718##0#0#=
D06#4413000000#2016040718##0#0#=
D06#4415000000#2016040718##0#0#=
D06#4418000000#2016040718##0#0#=
D06#4420000000#2016040718##0#0#=
D06#4421000000#2016040718##0#0#=
