"행정구역(시군구)별(1)","성별(1)",계,한국계중국인,중국,베트남,우즈베키스탄,필리핀,캄보디아,네팔,인도네시아,타이(태국),미얀마,미국,몽골,일본,스리랑카,타이완(대만),카자흐스탄,방글라데시,러시아(연방),파키스탄,인도,키르기즈,영국,캐나다,말레이시아,프랑스,우크라이나,이집트,남아프리카공화국,나이지리아,독일,티모르민주공화국(동티모르),홍콩,오스트레일리아,시리아,터키,한국계러시아인,가나,모로코,이란,예멘공화국,라오스,사우디아라비아,에티오피아,이탈리아,카메룬,브라질,뉴질랜드,스페인,싱가포르,네덜란드,아일랜드,멕시코,아랍에미리트연합,라이베리아,타지키스탄,우간다,스웨덴,알제리,콜롬비아,리비아,케냐,폴란드,세네갈,페루,아프가니스탄,벨기에,이라크,요르단,투르크메니스탄,튀니지,노르웨이,기니,수단,탄자니아,르완다,스위스,에콰도르,덴마크,벨로루시,콩고민주공화국,말리,그리스,오스트리아,아제르바이잔,루마니아,핀란드,칠레,헝가리,코트디부아르,베네수엘라,포르투갈,앙골라,이스라엘,감비아,체코,불가리아,아르헨티나,무국적,마카오,부룬디,짐바브웨,잠비아,리투아니아,파라과이,과테말라,쿠웨이트,피지,볼리비아,크로아티아,도미니카공화국,가봉,아르메니아,시에라리온,브루나이,엘살바도르,파나마,모잠비크,조지아,팔레스타인,코스타리카,슬로바크,미등록국가,세르비아,토고,부르키나파소,온두라스,자메이카,영국외지민,라트비아,몰도바,쿠바,슬로베니아,레바논,에스토니아,카타르,아이티,마다가스카르,부탄,베냉,니카라과,오만,우루과이,콩고,국제연합,말라위,알바니아,보츠와나,모리셔스,트리니다드토바고,키리바시,바레인,기니비사우,소말리아,키프로스,룩셈부르크,남수단공화국,차드,에스와티니,에리트레아,아이슬란드,보스니아-헤르체고비나,세인트크리스토퍼네비스,모리타니,솔로몬군도,마케도니아,중앙아프리카공화국,몰타,적도기니,바하마,몬테네그로,코소보,바누아투,레소토,니제르,몰디브,팔라우,파푸아뉴기니,코모로,벨리즈,도미니카연방,나미비아,그레나다,통가,수리남,바베이도스,나우루,지부티,앤티카바부다,안도라,세인트루시아,세이셸,가이아나
"대전광역시","계",19109,1382,5446,4182,793,661,332,295,348,283,86,714,469,444,126,386,201,242,192,298,404,39,103,126,50,102,26,33,104,56,75,12,27,43,51,61,4,61,13,45,1,27,93,77,13,5,38,20,24,18,18,12,22,24,3,22,21,11,8,11,6,13,15,0,7,9,13,1,21,9,9,8,2,9,11,12,10,9,6,2,2,0,5,4,21,7,6,4,7,0,6,1,0,3,1,1,2,2,2,2,0,5,0,3,5,0,0,2,2,2,7,2,6,4,3,3,2,0,2,2,1,1,2,1,1,0,0,1,1,2,0,3,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대전광역시","남자",8837,733,2138,1472,597,175,131,238,235,116,56,365,232,78,100,189,100,200,81,224,261,11,70,79,21,71,11,22,40,47,49,11,3,30,34,33,2,51,6,26,1,15,71,65,10,5,22,9,14,10,11,8,12,22,1,13,16,6,5,4,3,8,4,0,3,7,5,1,11,5,2,2,2,6,8,9,8,7,6,0,1,0,3,4,20,2,3,1,4,0,3,0,0,2,1,1,2,0,1,0,0,3,0,1,1,0,0,1,0,1,4,2,3,2,1,1,1,0,2,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대전광역시","여자",10272,649,3308,2710,196,486,201,57,113,167,30,349,237,366,26,197,101,42,111,74,143,28,33,47,29,31,15,11,64,9,26,1,24,13,17,28,2,10,7,19,0,12,22,12,3,0,16,11,10,8,7,4,10,2,2,9,5,5,3,7,3,5,11,0,4,2,8,0,10,4,7,6,0,3,3,3,2,2,0,2,1,0,2,0,1,5,3,3,3,0,3,1,0,1,0,0,0,2,1,2,0,2,0,2,4,0,0,1,2,1,3,0,3,2,2,2,1,0,0,1,1,0,1,0,0,0,0,1,1,2,0,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"울산광역시","계",20450,5041,2667,3908,877,1121,888,423,669,378,467,260,330,281,883,218,196,164,149,267,243,63,101,83,16,31,12,57,104,14,19,18,7,26,1,45,3,15,5,25,10,12,3,3,7,9,15,34,10,5,7,7,6,1,2,11,7,3,7,5,0,10,12,1,7,1,2,1,3,10,7,21,1,1,2,5,3,3,7,2,2,0,28,2,4,18,1,2,2,1,2,0,0,2,0,2,8,1,0,1,1,0,0,2,1,1,4,0,1,12,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"울산광역시","남자",12338,2847,976,1953,715,657,739,385,624,233,438,132,204,51,859,107,128,137,66,244,161,44,75,51,9,24,5,48,36,10,14,18,2,16,1,36,1,12,2,13,10,5,2,2,5,5,7,27,9,3,7,6,1,0,2,10,5,2,5,2,0,6,7,1,2,0,2,0,2,8,7,19,1,1,2,2,3,1,7,1,1,0,23,1,3,16,1,2,0,1,0,0,0,1,0,2,5,1,0,0,1,0,0,0,0,0,4,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"울산광역시","여자",8112,2194,1691,1955,162,464,149,38,45,145,29,128,126,230,24,111,68,27,83,23,82,19,26,32,7,7,7,9,68,4,5,0,5,10,0,9,2,3,3,12,0,7,1,1,2,4,8,7,1,2,0,1,5,1,0,1,2,1,2,3,0,4,5,0,5,1,0,1,1,2,0,2,0,0,0,3,0,2,0,1,1,0,5,1,1,2,0,0,2,0,2,0,0,1,0,0,3,0,0,1,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종특별자치시","계",5700,825,912,1250,243,187,323,188,145,326,208,140,70,82,97,46,99,59,30,68,23,31,32,47,7,21,7,10,45,3,3,2,4,7,6,6,1,3,8,0,0,8,0,4,5,5,4,4,1,1,4,3,7,0,8,3,2,4,3,2,0,2,0,0,1,5,0,0,1,1,3,0,0,1,2,0,1,2,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,1,4,1,0,1,0,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"세종특별자치시","남자",3587,482,411,725,179,84,241,179,134,299,196,56,47,10,93,16,60,53,15,60,18,12,20,30,3,17,3,9,18,2,2,2,0,6,5,5,1,3,3,0,0,2,0,4,3,3,2,4,1,1,3,3,3,0,8,3,1,4,1,2,0,1,0,0,0,5,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종특별자치시","여자",2113,343,501,525,64,103,82,9,11,27,12,84,23,72,4,30,39,6,15,8,5,19,12,17,4,4,4,1,27,1,1,0,4,1,1,1,0,0,5,0,0,6,0,0,2,2,2,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"경기도","계",414318,149860,54133,38204,18179,17248,16861,14727,7857,15893,12283,6386,7945,5458,6336,2526,5353,7983,3529,3720,3399,1660,692,844,721,284,1103,787,536,1191,226,457,264,251,399,300,476,558,312,241,161,269,44,179,65,573,151,171,74,102,97,93,104,11,286,116,162,35,147,68,11,83,58,127,65,112,46,37,30,77,53,11,84,65,54,50,22,60,20,66,97,84,9,23,23,27,34,16,26,45,27,20,39,17,32,21,19,18,32,10,51,26,2,8,12,21,2,4,12,7,8,8,18,7,3,4,2,19,2,2,8,8,14,7,23,12,8,3,7,4,13,6,0,6,3,1,18,5,3,5,4,1,3,11,0,3,3,5,12,3,0,8,8,3,2,1,3,2,5,4,0,1,0,2,4,1,0,0,3,0,0,1,0,0,2,1,2,2,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0
"경기도","남자",250595,84545,21601,18663,11561,11530,12632,13554,7137,11657,12078,3646,4355,1276,6153,1199,2955,7583,1663,3256,2573,1097,470,539,389,169,566,723,286,1013,145,431,60,170,305,215,204,480,223,171,132,134,30,124,46,391,83,121,45,41,70,69,46,8,220,73,105,15,131,30,8,53,20,119,28,84,29,29,21,35,30,5,75,57,42,34,14,30,18,23,64,78,5,18,13,6,20,3,10,27,11,11,32,10,32,4,7,10,13,1,26,16,2,1,2,8,0,3,3,4,3,4,9,7,1,3,1,15,1,2,5,3,9,5,19,11,3,2,0,2,5,5,0,3,2,0,15,1,2,5,2,0,0,7,0,3,2,4,5,0,0,7,8,3,1,1,3,2,3,2,0,1,0,2,2,0,0,0,3,0,0,1,0,0,2,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"경기도","여자",163723,65315,32532,19541,6618,5718,4229,1173,720,4236,205,2740,3590,4182,183,1327,2398,400,1866,464,826,563,222,305,332,115,537,64,250,178,81,26,204,81,94,85,272,78,89,70,29,135,14,55,19,182,68,50,29,61,27,24,58,3,66,43,57,20,16,38,3,30,38,8,37,28,17,8,9,42,23,6,9,8,12,16,8,30,2,43,33,6,4,5,10,21,14,13,16,18,16,9,7,7,0,17,12,8,19,9,25,10,0,7,10,13,2,1,9,3,5,4,9,0,2,1,1,4,1,0,3,5,5,2,4,1,5,1,7,2,8,1,0,3,1,1,3,4,1,0,2,1,3,4,0,0,1,1,7,3,0,1,0,0,1,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"강원도","계",19069,1337,2768,4947,744,818,961,1361,753,694,438,405,584,570,241,412,192,251,371,91,165,96,70,81,13,16,29,22,112,18,29,6,8,22,46,26,8,16,14,13,3,25,10,24,4,24,3,12,2,3,8,15,3,0,4,12,19,0,6,3,0,9,7,3,5,6,3,7,1,1,5,2,1,0,6,13,2,4,1,7,6,0,0,2,4,0,0,1,3,0,1,1,2,0,0,1,0,0,1,1,5,3,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원도","남자",10384,672,1172,2382,546,284,513,1153,687,291,415,190,287,42,234,215,103,224,206,70,123,54,46,53,4,10,15,19,38,18,16,6,1,17,42,19,5,14,6,6,3,11,6,17,2,12,0,7,2,0,5,8,3,0,3,7,9,0,3,1,0,6,6,3,2,6,2,5,1,1,2,2,1,0,3,7,2,2,1,0,3,0,0,2,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강원도","여자",8685,665,1596,2565,198,534,448,208,66,403,23,215,297,528,7,197,89,27,165,21,42,42,24,28,9,6,14,3,74,0,13,0,7,5,4,7,3,2,8,7,0,14,4,7,2,12,3,5,0,3,3,7,0,0,1,5,10,0,3,2,0,3,1,0,3,0,1,2,0,0,3,0,0,0,3,6,0,2,0,7,3,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충청북도","계",40714,6082,5110,6929,3542,2056,2116,2627,1111,1743,1025,272,1094,517,1452,423,740,576,557,311,212,330,55,84,129,19,234,288,75,52,16,42,7,22,47,25,85,18,61,3,79,46,2,68,4,16,7,12,8,2,0,11,4,0,29,18,22,1,12,2,5,6,3,43,4,2,1,4,1,15,9,0,30,3,20,6,1,3,0,3,4,14,1,4,3,2,1,2,1,3,4,2,9,2,13,2,0,3,1,1,4,1,1,0,2,1,0,1,2,2,1,3,0,1,0,0,0,4,0,1,0,0,5,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,0,3,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충청북도","남자",25482,3546,2106,3272,2524,1286,1451,2319,1045,1256,1006,142,557,94,1413,208,414,548,269,284,159,228,46,60,85,10,127,267,25,46,11,41,2,12,39,23,41,18,47,3,70,18,1,42,3,14,4,9,5,1,0,9,2,0,22,11,17,1,12,1,2,6,2,39,3,2,1,3,1,9,7,0,24,3,16,3,0,0,0,0,2,12,0,2,2,1,0,0,0,3,2,2,9,0,13,1,0,3,0,0,2,1,1,0,1,0,0,0,0,2,0,3,0,1,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충청북도","여자",15232,2536,3004,3657,1018,770,665,308,66,487,19,130,537,423,39,215,326,28,288,27,53,102,9,24,44,9,107,21,50,6,5,1,5,10,8,2,44,0,14,0,9,28,1,26,1,2,3,3,3,1,0,2,2,0,7,7,5,0,0,1,3,0,1,4,1,0,0,1,0,6,2,0,6,0,4,3,1,3,0,3,2,2,1,2,1,1,1,2,1,0,2,0,0,2,0,1,0,0,1,1,2,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충청남도","계",70675,12670,8874,12205,5373,2563,4569,4726,2491,2782,1737,745,1067,1334,1394,527,2529,553,974,296,251,677,78,107,221,23,253,124,93,45,22,223,17,27,56,31,133,32,42,16,43,61,12,19,5,24,28,9,6,10,5,16,18,0,21,20,23,5,19,12,0,46,8,18,8,14,0,10,5,54,7,1,15,6,17,12,6,2,1,7,14,10,0,3,2,6,3,2,1,21,4,9,9,1,9,6,2,5,3,0,1,2,2,0,8,1,0,0,6,1,2,1,5,0,4,0,2,2,0,2,1,3,6,2,5,4,1,0,0,1,3,3,1,0,0,0,1,2,1,3,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충청남도","남자",42805,7280,3646,5980,3504,1440,2958,4290,2258,2039,1689,386,529,313,1353,257,1473,520,470,262,207,396,48,62,147,17,136,119,43,39,13,219,4,19,33,26,64,29,28,6,41,23,6,12,1,17,12,7,4,4,4,10,4,0,16,12,11,2,16,5,0,31,5,15,3,14,0,4,4,37,7,1,15,3,13,7,4,1,1,5,8,10,0,2,2,2,3,1,0,9,2,8,9,1,9,2,1,3,1,0,1,2,1,0,4,0,0,0,4,0,1,1,3,0,0,0,1,2,0,1,0,1,4,0,5,1,1,0,0,0,2,3,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"충청남도","여자",27870,5390,5228,6225,1869,1123,1611,436,233,743,48,359,538,1021,41,270,1056,33,504,34,44,281,30,45,74,6,117,5,50,6,9,4,13,8,23,5,69,3,14,10,2,38,6,7,4,7,16,2,2,6,1,6,14,0,5,8,12,3,3,7,0,15,3,3,5,0,0,6,1,17,0,0,0,3,4,5,2,1,0,2,6,0,0,1,0,4,0,1,1,12,2,1,0,0,0,4,1,2,2,0,0,0,1,0,4,1,0,0,2,1,1,0,2,0,4,0,1,0,0,1,1,2,2,2,0,3,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라북도","계",33074,1978,6074,10023,1521,1273,1995,1888,957,670,810,454,908,667,887,434,82,482,177,268,231,92,70,96,24,17,17,94,110,5,10,143,9,22,111,24,2,5,18,29,50,53,0,14,5,6,15,11,4,3,3,9,7,0,0,16,10,3,6,4,2,4,5,6,6,17,2,1,1,1,4,1,2,5,3,5,1,12,0,1,2,11,0,1,3,2,2,4,0,5,2,3,0,1,20,0,0,1,3,0,1,1,3,0,0,5,0,0,2,0,0,1,1,0,0,1,0,2,2,0,2,0,2,1,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라북도","남자",18300,1130,2336,4739,1298,508,973,1662,911,416,743,233,419,46,861,218,42,431,92,249,156,56,45,54,11,12,9,81,39,4,8,143,2,14,82,19,1,4,8,16,43,10,0,8,2,5,9,6,1,1,3,6,2,0,0,7,9,1,4,0,0,3,1,5,2,14,1,1,1,0,3,1,1,4,1,2,1,3,0,0,2,11,0,1,1,0,1,0,0,4,2,3,0,1,20,0,0,1,1,0,1,0,1,0,0,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라북도","여자",14774,848,3738,5284,223,765,1022,226,46,254,67,221,489,621,26,216,40,51,85,19,75,36,25,42,13,5,8,13,71,1,2,0,7,8,29,5,1,1,10,13,7,43,0,6,3,1,6,5,3,2,0,3,5,0,0,9,1,2,2,4,2,1,4,1,4,3,1,0,0,1,1,0,1,1,2,3,0,9,0,1,0,0,0,0,2,2,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,2,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라남도","계",34638,1935,3304,10394,1451,1634,2934,1955,2295,910,917,311,511,814,2753,169,169,164,238,87,105,100,83,88,57,22,39,88,126,10,11,492,4,32,61,31,5,4,17,1,105,43,0,1,6,3,15,10,3,1,2,16,8,10,0,2,4,2,2,1,0,2,8,1,3,1,0,0,3,1,3,3,1,1,1,0,1,0,0,0,0,0,28,0,1,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라남도","남자",22223,1045,1514,5460,1236,660,1774,1773,2247,541,883,143,282,60,2727,89,107,152,154,87,80,52,53,51,45,13,19,84,47,8,9,490,0,19,48,24,3,4,8,0,101,14,0,1,6,1,4,6,2,1,2,8,7,6,0,1,4,2,2,0,0,1,7,1,0,1,0,0,3,0,2,2,1,1,1,0,1,0,0,0,0,0,24,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라남도","여자",12415,890,1790,4934,215,974,1160,182,48,369,34,168,229,754,26,80,62,12,84,0,25,48,30,37,12,9,20,4,79,2,2,2,4,13,13,7,2,0,9,1,4,29,0,0,0,2,11,4,1,0,0,8,1,4,0,1,0,0,0,1,0,1,1,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경상북도","계",58119,3388,5811,18502,3824,2623,3279,2893,4189,1435,1368,822,1049,662,1974,337,1412,676,352,625,570,311,97,115,80,54,173,216,117,26,31,86,14,31,131,35,63,39,23,33,51,61,12,31,8,7,34,24,7,6,9,13,15,1,6,24,16,5,4,4,2,10,6,2,10,11,2,3,1,20,32,3,1,4,15,34,1,8,4,3,9,3,0,2,0,5,0,6,5,4,0,0,1,2,3,7,5,2,9,1,0,5,4,0,0,2,0,0,3,1,0,6,1,0,0,0,3,2,0,1,1,2,3,2,1,1,3,2,0,1,7,3,3,0,0,0,0,3,1,0,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경상북도","남자",36455,1863,2594,9686,2767,1294,2216,2637,3879,964,1341,526,472,143,1893,171,819,618,137,578,396,158,66,75,43,36,98,192,53,17,20,76,4,19,83,19,33,30,15,21,46,26,7,23,3,4,18,15,6,3,8,7,5,0,6,14,9,3,3,2,2,8,2,1,5,9,2,1,0,16,28,3,1,2,11,23,0,5,4,2,9,3,0,0,0,3,0,0,2,1,0,0,1,2,3,1,2,1,2,0,0,3,1,0,0,1,0,0,2,1,0,4,0,0,0,0,1,2,0,0,0,1,1,2,1,0,1,2,0,1,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경상북도","여자",21664,1525,3217,8816,1057,1329,1063,256,310,471,27,296,577,519,81,166,593,58,215,47,174,153,31,40,37,18,75,24,64,9,11,10,10,12,48,16,30,9,8,12,5,35,5,8,5,3,16,9,1,3,1,6,10,1,0,10,7,2,1,2,0,2,4,1,5,2,0,2,1,4,4,0,0,2,4,11,1,3,0,1,0,0,0,2,0,2,0,6,3,3,0,0,0,0,0,6,3,1,7,1,0,2,3,0,0,1,0,0,1,0,0,2,1,0,0,0,2,0,0,1,1,1,2,0,0,1,2,0,0,0,7,2,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경상남도","계",76123,5845,6271,18763,6620,3621,4728,3670,6705,2012,2362,1069,865,1158,3229,326,1493,847,863,1015,707,328,389,183,281,243,235,107,252,30,53,489,18,100,162,41,63,21,44,33,52,58,4,7,113,15,37,44,17,31,19,28,4,0,17,13,4,10,17,22,0,4,20,2,17,10,9,4,7,14,11,45,2,2,2,6,2,2,16,2,0,0,71,2,6,17,6,2,0,1,3,5,0,0,1,2,7,3,3,0,2,1,0,1,0,0,0,2,1,7,2,0,0,1,0,2,0,11,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경상남도","남자",51952,3280,2713,10818,5282,2334,2914,3257,6483,1499,2351,653,489,230,3155,161,848,805,460,957,489,208,299,116,197,161,131,88,107,24,43,488,8,66,108,34,25,19,31,22,52,11,3,6,79,6,21,35,7,19,16,18,1,0,17,10,3,4,15,11,0,3,12,2,10,9,7,3,6,9,8,40,1,2,0,3,1,1,12,1,0,0,61,2,5,10,4,0,0,1,2,3,0,0,1,2,3,2,1,0,1,1,0,1,0,0,0,0,1,4,1,0,0,1,0,1,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
