"행정구역(시군구)별(1)","성별(1)",계,한국계중국인,중국,베트남,우즈베키스탄,필리핀,캄보디아,네팔,인도네시아,타이(태국),미얀마,미국,몽골,일본,스리랑카,타이완(대만),카자흐스탄,방글라데시,러시아(연방),파키스탄,인도,키르기즈,영국,캐나다,말레이시아,프랑스,우크라이나,이집트,남아프리카공화국,나이지리아,독일,티모르민주공화국(동티모르),홍콩,오스트레일리아,시리아,터키,한국계러시아인,가나,모로코,이란,예멘공화국,라오스,사우디아라비아,에티오피아,이탈리아,카메룬,브라질,뉴질랜드,스페인,싱가포르,네덜란드,아일랜드,멕시코,아랍에미리트연합,라이베리아,타지키스탄,우간다,스웨덴,알제리,콜롬비아,리비아,케냐,폴란드,세네갈,페루,아프가니스탄,벨기에,이라크,요르단,투르크메니스탄,튀니지,노르웨이,기니,수단,탄자니아,르완다,스위스,에콰도르,덴마크,벨로루시,콩고민주공화국,말리,그리스,오스트리아,아제르바이잔,루마니아,핀란드,칠레,헝가리,코트디부아르,베네수엘라,포르투갈,앙골라,이스라엘,감비아,체코,불가리아,아르헨티나,무국적,마카오,부룬디,짐바브웨,잠비아,리투아니아,파라과이,과테말라,쿠웨이트,피지,볼리비아,크로아티아,도미니카공화국,가봉,아르메니아,시에라리온,브루나이,엘살바도르,파나마,모잠비크,조지아,팔레스타인,코스타리카,슬로바크,미등록국가,세르비아,토고,부르키나파소,온두라스,자메이카,영국외지민,라트비아,몰도바,쿠바,슬로베니아,레바논,에스토니아,카타르,아이티,마다가스카르,부탄,베냉,니카라과,오만,우루과이,콩고,국제연합,말라위,알바니아,보츠와나,모리셔스,트리니다드토바고,키리바시,바레인,기니비사우,소말리아,키프로스,룩셈부르크,남수단공화국,차드,에스와티니,에리트레아,아이슬란드,보스니아-헤르체고비나,세인트크리스토퍼네비스,모리타니,솔로몬군도,마케도니아,중앙아프리카공화국,몰타,적도기니,바하마,몬테네그로,코소보,바누아투,레소토,니제르,몰디브,팔라우,파푸아뉴기니,코모로,벨리즈,도미니카연방,나미비아,그레나다,통가,수리남,바베이도스,나우루,지부티,앤티카바부다,안도라,세인트루시아,세이셸,가이아나
"부산광역시","여자",20332,1190,5604,5927,357,951,320,178,342,247,107,527,316,1072,28,779,170,44,754,78,101,52,81,94,36,67,33,9,94,11,41,8,38,31,4,27,123,3,27,32,0,54,7,17,7,7,15,8,12,14,15,7,19,1,0,6,7,17,7,7,0,9,15,1,17,0,2,1,0,2,3,12,2,2,8,4,3,3,4,8,0,0,0,4,6,4,6,3,4,0,9,1,0,0,0,0,1,1,3,2,6,2,1,2,1,3,0,3,1,2,5,2,0,0,0,3,1,3,0,0,2,0,0,0,0,0,2,4,0,1,2,2,1,0,2,0,0,1,0,0,1,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"대구광역시","계",30191,1930,4768,8285,1634,1674,946,629,1391,490,485,1306,347,543,915,683,381,447,339,935,361,102,165,158,26,145,43,59,95,46,43,18,17,50,26,28,35,21,16,20,11,25,7,18,11,20,29,18,11,3,13,40,16,0,12,46,13,2,4,6,0,13,17,4,7,9,3,1,13,0,16,4,31,1,5,2,3,3,2,5,12,8,1,3,2,5,4,0,6,3,4,4,4,1,0,3,3,5,1,0,3,3,14,4,3,1,1,0,1,0,1,5,2,0,1,5,0,1,0,0,2,0,0,1,0,0,2,2,1,1,1,0,0,2,1,0,1,0,1,1,0,0,4,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"대구광역시","남자",16407,1052,1876,3624,1140,731,596,547,1236,225,452,695,164,88,856,333,199,388,117,792,268,42,104,104,5,112,21,57,45,33,21,18,4,33,17,9,20,18,7,13,11,4,6,14,3,11,14,14,6,1,8,32,9,0,6,36,7,2,2,4,0,10,6,4,4,9,1,0,7,0,13,3,18,0,3,2,3,2,2,2,6,5,1,1,1,1,2,0,2,2,2,0,3,1,0,2,2,0,0,0,3,2,10,4,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"대구광역시","여자",13784,878,2892,4661,494,943,350,82,155,265,33,611,183,455,59,350,182,59,222,143,93,60,61,54,21,33,22,2,50,13,22,0,13,17,9,19,15,3,9,7,0,21,1,4,8,9,15,4,5,2,5,8,7,0,6,10,6,0,2,2,0,3,11,0,3,0,2,1,6,0,3,1,13,1,2,0,0,1,0,3,6,3,0,2,1,4,2,0,4,1,2,4,1,0,0,1,1,5,1,0,0,1,4,0,2,1,1,0,1,0,0,2,2,0,1,5,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"인천광역시","계",72259,19071,11284,9294,3663,2838,1162,1397,1671,1862,2337,1172,1880,1073,739,2437,1732,1100,924,1151,361,413,173,243,130,120,356,300,81,58,85,79,88,108,251,70,177,123,58,74,264,54,4,101,45,14,32,52,62,29,29,32,37,3,6,113,6,11,16,15,235,30,15,4,19,49,20,114,166,12,28,3,2,28,12,6,9,12,10,15,7,6,2,13,6,15,2,11,10,4,18,6,9,1,8,5,10,8,9,5,3,12,13,5,5,6,0,9,10,10,5,1,11,0,0,6,2,2,2,25,7,7,6,2,6,0,1,10,5,2,1,2,1,5,0,1,0,1,7,6,0,0,1,1,15,2,0,8,4,3,0,0,2,0,0,0,0,2,1,3,1,1,1,0,1,2,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"인천광역시","남자",41155,10519,4431,4560,2046,1863,913,1286,1562,1337,2175,646,921,246,709,1305,970,1013,416,991,245,227,135,161,70,56,177,215,43,43,51,78,20,71,159,33,87,101,25,38,172,14,2,51,29,9,15,29,33,8,18,25,14,1,5,74,5,5,5,3,150,20,3,2,8,30,14,65,104,8,18,0,2,15,7,5,5,8,8,3,6,5,2,12,5,2,1,6,5,4,9,3,5,0,5,3,8,5,2,3,2,8,3,1,1,3,0,3,5,6,3,1,8,0,0,1,0,0,1,20,3,4,4,0,1,0,0,7,1,0,0,1,0,3,0,0,0,0,1,3,0,0,1,1,9,2,0,4,3,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"인천광역시","여자",31104,8552,6853,4734,1617,975,249,111,109,525,162,526,959,827,30,1132,762,87,508,160,116,186,38,82,60,64,179,85,38,15,34,1,68,37,92,37,90,22,33,36,92,40,2,50,16,5,17,23,29,21,11,7,23,2,1,39,1,6,11,12,85,10,12,2,11,19,6,49,62,4,10,3,0,13,5,1,4,4,2,12,1,1,0,1,1,13,1,5,5,0,9,3,4,1,3,2,2,3,7,2,1,4,10,4,4,3,0,6,5,4,2,0,3,0,0,5,2,2,1,5,4,3,2,2,5,0,1,3,4,2,1,1,1,2,0,1,0,1,6,3,0,0,0,0,6,0,0,4,1,2,0,0,1,0,0,0,0,0,1,2,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"광주광역시","계",23825,1396,4468,5515,2679,953,1173,416,568,410,399,403,555,349,380,270,1051,154,484,322,344,233,74,104,68,23,247,23,56,52,21,44,7,24,43,28,31,19,8,19,6,33,0,17,5,18,17,10,6,3,1,21,10,0,26,14,6,0,2,1,1,23,1,1,8,13,5,24,4,4,1,0,1,1,4,10,0,8,6,0,6,1,2,0,0,8,6,2,2,1,2,4,1,3,1,2,1,1,2,0,0,0,0,2,0,1,0,0,1,1,0,2,1,13,2,2,0,1,3,0,3,0,5,0,1,0,2,0,2,2,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주광역시","남자",13020,789,1958,2325,1715,517,859,358,526,256,392,196,244,34,370,143,583,115,254,249,239,134,48,72,38,12,129,18,20,38,10,40,3,16,34,19,14,15,3,7,3,6,0,11,3,13,8,9,5,1,1,17,3,0,22,11,3,0,1,0,1,19,1,1,3,7,2,16,2,3,0,0,0,1,1,6,0,2,3,0,2,1,0,0,0,3,3,0,0,1,0,4,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,8,0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주광역시","여자",10805,607,2510,3190,964,436,314,58,42,154,7,207,311,315,10,127,468,39,230,73,105,99,26,32,30,11,118,5,36,14,11,4,4,8,9,9,17,4,5,12,3,27,0,6,2,5,9,1,1,2,0,4,7,0,4,3,3,0,1,1,0,4,0,0,5,6,3,8,2,1,1,0,1,0,3,4,0,6,3,0,4,0,2,0,0,5,3,2,2,0,2,0,1,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,5,2,1,0,0,3,0,2,0,2,0,0,0,2,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
